Title,IsSpoiler
HIGHLIGHTS: Arsenal 4-2 Liverpool ,Y
Chelsea 3-0 Wolves | Premier League Extended Highlights,Y
RONALDO'S 700th CLUB GOAL 😍 | Everton 1-2 Man Utd | Highlights,Y
EPL | Nottingham Forest 1 Aston Villa 1 | The Holy Trinity Show | Episode 75,Y
Chelsea 2 - 0 Milan | Highlights | UEFA Champions League | 12th October 2022,Y
"Extended Highlights | Man City 4-0 Southampton | Cancelo Foden Mahrez & Haaland all on scoresheet""",Y
,
Newcastle United 5 Brentford 1 | Premier League Highlights,Y
Viktoria Plzen 2 - 4 Bayern Munich | Highlights | UEFA Champions League | 13th October 2022,Y
1 in a Billion Moments,N
Gabriel Martinelli toying with Arnold as usual,N
"Derby Day Champions League & Harrdy Sandhu! | INSIDE CITY 409""",N
EPL Fixtures Today - Matchday 11 - Premier League Fixtures - EPL Fixtures 2022/23,N
Fulham 1 Newcastle United 4 | Premier League Highlights,Y
EVERTON 1-2 MAN UNITED | Premier League highlights,Y
Chelsea 3-0 Wolves | Premier League Highlights,Y
HIGHLIGHTS: CRYSTAL PALACE 2-1 LEEDS UNITED | PREMIER LEAGUE,Y
West Ham 3-1 Fulham | Hammers Secure Back To Back Wins | Premier League Highlights,Y
The moment when Manchester United discovered Manchester City had won the Premier League,Y
Copenhagen 0 - 0 Man City | Highlights | UEFA Champions League | 11th October 2022,Y
Foxes Sunk On South Coast | Bournemouth 2 Leicester City 1 | Premier League Highlights,Y
KEEP OR SACK? The Premier League Managers In Big Trouble Are... | W&L,N
"HIGHLIGHTS | Arsenal vs Liverpool (3-2) | Martinelli Saka (2)""",Y
3X Salary Jump and 70% Salary Saved | How to be financially free?,N
Emotional Roger Federer's farewell interview in FULL 😢 | Laver Cup 2022 Moments,N
Crystal Palace 2-1 Leeds United: Match Highlights,Y
West Ham 3-1 Fulham | Premier League Highlights | Controversial Affair In East London,Y
Erling Haaland 17 Goals & Assists in 8 EPL Games !,N
Foxes Stun Forest | Leicester City 4 Nottingham Forest 0 | Premier League Highlights,Y
Foxes Stun Forest | Premier League Highlights,Y
Foxes vs Forest | Premier League Highlights,N
"HILARIOUS Premier League Managers' Sideline Antics (Part One) ft. Van Gaal Mourinho & more""",N
HIGHLIGHTS: Arsenal 3-2 Liverpool | Nunez & Firmino goals not enough at the Emirates,Y
EVERTON 1-2 MAN UNITED | Premier League highlights,Y
Rangers 1 - 7 Liverpool | Highlights | UEFA Champions League | 13th October 2022,Y
RONALDO'S 700th CLUB GOAL 😍 | Everton 1-2 Man Utd | Highlights,Y
Chelsea 3-0 Wolves | Premier League Highlights,Y
Viktoria Plzen 2 - 4 Bayern Munich | Highlights | UEFA Champions League | 13th October 2022,Y
Foxes Stun Forest | Leicester City 4 Nottingham Forest 0 | Premier League Highlights,Y
Crystal Palace 1-2 Chelsea | Premier League Highlights,Y
Fulham 1 Newcastle United 4 | Premier League Highlights,Y
Newcastle United 5 Brentford 1 | Premier League Highlights,Y
Chelsea 2 - 0 Milan | Highlights | UEFA Champions League | 12th October 2022,Y
"HIGHLIGHTS | CITY GO TOP HAALAND SCORES AGAIN! | Manchester City 4-0 Southampton | Premier League""",Y
Chelsea 3-0 Wolves | Premier League Extended Highlights,Y
PSG 1 - 1 Benfica | Highlights | UEFA Champions League | 12th October 2022,Y
Nah he’s wrong for that🤣,N
2nd T20I | Highlights | England Tour Of Australia | 12th October 2022,N
PL Highlights: Liverpool 3 Albion 3,Y
"Extended Highlights | Man City 4-0 Southampton | Cancelo Foden Mahrez & Haaland all on scoresheet""",Y
EXTENDED HIGHLIGHTS | NOTTINGHAM FOREST 1 - 1 ASTON VILLA | PREMIER LEAGUE,Y
EXTENDED HIGHLIGHTS | NOTTINGHAM FOREST vs ASTON VILLA | PREMIER LEAGUE,N
When You Prepare Whole Night But Opponent Plays 1. f4,N
HIGHLIGHTS | Arsenal vs Aston Villa (2-1) | Gabriel Jesus and Martinelli make it five wins!,Y
Gabriel Jesus and Martinelli make it five wins!,Y
Arsenal vs Aston Villa (2-1),Y
"HIGHLIGHTS | Arsenal vs Liverpool (3-2) | Martinelli Saka (2)""",Y
MATCH HIGHLIGHTS | NOTTINGHAM FOREST 1 - 1 ASTON VILLA | PREMIER LEAGUE,Y
HIGHLIGHTS | HAALAND & FODEN HAT-TRICKS IN THE DERBY | Man City 6-3 Man United | Premier League,Y
HAALAND & FODEN HAT-TRICKS IN THE DERBY |,Y
Man City 6-3 Man United | Premier League,Y
West Ham 3-1 Fulham | Hammers Secure Back To Back Wins | Premier League Highlights,Y
Hammers Secure Back To Back Wins,Y
West Ham 3-1 Fulham |  Premier League Highlights,Y
HIGHLIGHTS: Manchester City 4-0 Southampton | Premier League,Y
Brentford 0-3 Arsenal | Premier League Highlights,Y
Foxes Sunk On South Coast | Bournemouth 2 Leicester City 1 | Premier League Highlights,Y
Bournemouth 2 Leicester City 1 | Premier League Highlights,Y
Bournemouth 2 Leicester City 1 | Premier League Highlights,Y
Foxes Sunk On South Coast |Premier League Highlights,Y
Viktoria Plzen 2 - 4 Bayern Munich | Highlights | UEFA Champions League | 13th October 2022,Y
Crystal Palace 2-1 Leeds United: Match Highlights,Y
Newcastle United 5 Brentford 1 | Premier League Highlights,Y
Fulham 1 Newcastle United 4 | Premier League Highlights,Y
Erling Haaland 17 Goals & Assists in 8 EPL Games !,N
Harry Kane scores AGAIN | EXTENDED HIGHLIGHTS | Brighton 0-1 Spurs,Y
West Ham 3-1 Fulham | Premier League Highlights | Controversial Affair In East London,Y
Race Highlights | 2022 Japanese Grand Prix,N
HIGHLIGHTS: CRYSTAL PALACE 2-1 LEEDS UNITED | PREMIER LEAGUE,Y
When Luis Suarez Made History! | Liverpool 5-1 Norwich Highlights | Premier League,Y
Manchester City vs Manchester United Extended Highlights & All Goals -Premier League 2022,N
Chelsea 1-0 West Ham | Premier League 2 Highlights,Y
"HIGHLIGHTS | Arsenal vs Liverpool (3-2) | Martinelli Saka (2)""",Y
Arsenal vs Liverpool 3-2  Extended Highlights & All Goals 2022 HD,Y
Chelsea 3 - 0 Milan | Highlights | UEFA Champions League | 6th October 2022,Y
Extended Highlights | Haaland scores Hat-trick for City! | Man City 4-2 Palace | Premier League,Y
EXTENDED HIGHLIGHTS: Manchester City 4-0 Southampton | Premier League,Y
Borussia Dortmund - FC Bayern München 2-2 | Highlights | Matchday 9 – Bundesliga 2022/23,Y
Extended PL Highlights: Liverpool 3 Albion 3,Y
Crystal Palace 1-2 Chelsea | Premier League Extended Highlights,Y
Juventus-Bologna 3-0 | Juve’s strikers in full swing: Goals & Highlights | Serie A 2022/23,Y
Highlights Match Arsenal vs Tottenham 3-1 🔥 Premier League 2023,Y
Liverpool 3 x 1 Manchester City ■ FA Community Shield -2022 | Extended Highlights & Goals,Y
Four Wins In A Row! 💪 | Man Utd 3-1 Arsenal | Highlights,Y
"HIGHLIGHTS | Wolves 0-3 Man City | Grealish Foden and Haaland scores AGAIN | Premier League""",Y
Roma-Lecce 2-1 | Dybala and Smalling both score again: Goals & Highlights | Serie A 2022/23,Y
"HIGHLIGHTS | Arsenal vs Leicester City (4-2) | Gabriel Jesus (2) Xhaka Martinelli""",Y
Chelsea 3-0 AC Milan | UEFA Champions League Highlights,Y
HIGHLIGHTS: Liverpool 9-0 Bournemouth | Record-breaking NINE goals at Anfield!,Y
Leeds 3-0 Chelsea | Extended Premier League Highlights,Y
"HIGHLIGHTS | Crystal Palace v Arsenal (0-2) | Martinelli scores Saliba impresses!""",Y
PREMIER LEAGUE HIGHLIGHTS: SOUTHAMPTON 1-2 EVERTON,Y
Extended Highlights | Man City 6-3 Man United | Haaland and Foden hat-tricks!,Y
Chelsea 2-1 West Ham | Premier League Highlights,Y
Chelsea 2-1 Leicester | Sterling Scores First Chelsea Goals | Extended Premier League Highlights,Y
"HIGHLIGHTS | Arsenal vs Tottenham Hotspur (3-1) | Partey Jesus Xhaka""",Y
Heung-min Son scores HAT-TRICK in 13 minutes! | HIGHLIGHTS | Spurs 6-2 Leicester City,Y
HIGHLIGHTS | Arsenal vs Fulham (2-1) | Odegaard and Gabriel make it four wins from four!,Y
Nunez & Firmino goals not enough at the Emirates,Y
Odegaard and Gabriel make it four wins from four!,Y
Spurs 6-2 Leicester City,Y
Heung-min Son scores HAT-TRICK in 13 minutes!,Y
HIGHLIGHTS | Arsenal vs Fulham (2-1),Y
Sterling Scores First Chelsea Goals,Y
Chelsea 2-1,Y
Haaland and Foden hat-tricks!,Y
Man City 6-3 Man United,Y
"Martinelli scores Saliba impresses!""",Y
Crystal Palace v Arsenal (0-2),Y
Dybala and Smalling both score again,Y
Roma-Lecce 2-1,Y
Crystal Palace vs Chelsea | Premier League Highlights,N
Grealish Foden and Haaland scores AGAIN,Y
Wolves 0-3 Man City,Y
"HIGHLIGHTS | Arsenal vs Liverpool | Martinelli Saka """,N
HIGHLIGHTS: CRYSTAL PALACE LEEDS UNITED | PREMIER LEAGUE,N
Cancelo Foden Mahrez & Haaland all on scoresheet,Y
Foxes Sunk On South Coast,Y
Manchester City had won the Premier League,Y
HAT-TRICKS,Y